image,annotations__label,annotations__coordinates__x,annotations__coordinates__y,annotations__coordinates__width,annotations__coordinates__height
,No issues,3627,378,531,607
,No issues,3382,567,531,607
,No issues,3137,756,531,607
,No issues,2887,929,531,607
,No issues,2407,1291,531,607
,No issues,1462,1950,531,607
,No issues,1219,2126,531,607
,No issues,1002,2289,531,607
,No issues,744,2464,521,544
160407h.JPG,No issues,1331,1111,531,607
,Broken,2102,1698,487,501
,Broken,1,1,4015,2997
,No issues,95,184,531,607
,No issues,353,378,531,607
,No issues,598,567,531,607
,No issues,843,756,531,607
,No issues,1093,929,531,607
,No issues,1573,1291,531,607
,No issues,2518,1950,531,607
,No issues,2761,2126,531,607
,No issues,2978,2289,531,607
,No issues,3246,2464,521,544
160407v.JPG,No issues,2649,1289,531,607
,Broken,1922,808,487,501
,Broken,495,9,4015,2997
,No issues,3885,2216,531,607
,No issues,3627,2022,531,607
,No issues,3382,1833,531,607
,No issues,3137,1644,531,607
,No issues,2887,1471,531,607
,No issues,2407,1109,531,607
,No issues,1462,450,531,607
,No issues,1219,274,531,607
,No issues,1002,111,531,607
,No issues,744,0,521,544
160407d.JPG,No issues,1331,1289,531,607
,Broken,2102,808,487,501
,Broken,1,9,4015,2997
,No issues,95,2216,531,607
,No issues,353,2022,531,607
,No issues,598,1833,531,607
,No issues,843,1644,531,607
,No issues,1093,1471,531,607
,No issues,1573,1109,531,607
,No issues,2518,450,531,607
,No issues,2761,274,531,607
,No issues,2978,111,531,607
,No issues,3246,0,521,544
160842.JPG,No issues,2036,930,605,332
,No issues,2050,1159,571,317
,Flashover damage,2031,67,625,456
,Flashover damage,2048,2281,542,316
,Flashover damage,2047,2702,534,307
,Flashover damage,2035,2063,566,310
,Flashover damage,2047,2495,542,311
,Flashover damage,2039,1609,578,308
,Flashover damage,2051,683,598,336
,Flashover damage,1954,45,741,2964
,No issues,2047,1389,571,317
,No issues,2044,1851,559,284
,No issues,2047,434,607,299
160842h.JPG,No issues,1870,930,605,332
,No issues,1890,1159,571,317
,Flashover damage,1855,67,625,456
,Flashover damage,1921,2281,542,316
,Flashover damage,1930,2702,534,307
,Flashover damage,1910,2063,566,310
,Flashover damage,1922,2495,542,311
,Flashover damage,1894,1609,578,308
,Flashover damage,1862,683,598,336
,Flashover damage,1816,45,741,2964
,No issues,1893,1389,571,317
,No issues,1908,1851,559,284
,No issues,1857,434,607,299
160842v.JPG,No issues,2036,1745,605,332
,No issues,2050,1531,571,317
,Flashover damage,2031,2484,625,456
,Flashover damage,2048,410,542,316
,Flashover damage,2047,0,534,307
,Flashover damage,2035,634,566,310
,Flashover damage,2047,201,542,311
,Flashover damage,2039,1090,578,308
,Flashover damage,2051,1988,598,336
,Flashover damage,1954,0,741,2964
,No issues,2047,1301,571,317
,No issues,2044,872,559,284
,No issues,2047,2274,607,299
160842d.JPG,No issues,1870,1745,605,332
,No issues,1890,1531,571,317
,Flashover damage,1855,2484,625,456
,Flashover damage,1921,410,542,316
,Flashover damage,1930,0,534,307
,Flashover damage,1910,634,566,310
,Flashover damage,1922,201,542,311
,Flashover damage,1894,1090,578,308
,Flashover damage,1862,1988,598,336
,Flashover damage,1816,0,741,2964
,No issues,1893,1301,571,317
,No issues,1908,872,559,284
,No issues,1857,2274,607,299
161244.JPG,No issues,2112,2834,434,175
,Flashover damage,2119,2384,429,230
,Flashover damage,2110,2611,438,227
,Flashover damage,2097,1722,451,223
,Flashover damage,2055,1208,531,1801
,No issues,2107,2156,435,229
,No issues,2102,1492,435,229
,Flashover damage,2099,1941,451,223
,Flashover damage,2096,1208,441,278
161244h.JPG,No issues,1965,2834,434,175
,Flashover damage,1963,2384,429,230
,Flashover damage,1963,2611,438,227
,Flashover damage,1963,1722,451,223
,Flashover damage,1925,1208,531,1801
,No issues,1969,2156,435,229
,No issues,1974,1492,435,229
,Flashover damage,1961,1941,451,223
,Flashover damage,1974,1208,441,278
161244v.JPG,No issues,2112,0,434,175
,Flashover damage,2119,393,429,230
,Flashover damage,2110,169,438,227
,Flashover damage,2097,1062,451,223
,Flashover damage,2055,0,531,1801
,No issues,2107,622,435,229
,No issues,2102,1286,435,229
,Flashover damage,2099,843,451,223
,Flashover damage,2096,1521,441,278
170030.JPG,No issues,592,2371,1039,1940
,Flashover damage,1954,2385,1039,1974
,Flashover damage,4114,2371,1046,2085
,Flashover damage,5594,2447,1561,2050
,Flashover damage,0,2268,7272,2263
,No issues,3354,2398,1064,1997
,No issues,0,2352,945,1930
170030h.JPG,No issues,5728,2371,1039,1940
,Flashover damage,4366,2385,1039,1974
,Flashover damage,2199,2371,1046,2085
,Flashover damage,204,2447,1561,2050
,Flashover damage,87,2268,7272,2263
,No issues,2941,2398,1064,1997
,No issues,6414,2352,945,1930
170030v.JPG,No issues,592,600,1039,1940
,Flashover damage,1954,552,1039,1974
,Flashover damage,4114,455,1046,2085
,Flashover damage,5594,414,1561,2050
,Flashover damage,0,380,7272,2263
,No issues,3354,516,1064,1997
,No issues,0,629,945,1930
170030d.JPG,No issues,5728,600,1039,1940
,Flashover damage,4366,552,1039,1974
,Flashover damage,2199,455,1046,2085
,Flashover damage,204,414,1561,2050
,Flashover damage,87,380,7272,2263
,No issues,2941,516,1064,1997
,No issues,6414,629,945,1930
170148.JPG,No issues,1465,1390,818,479
,Flashover damage,1498,580,808,661
,Flashover damage,1418,511,921,1626
,No issues,1462,1701,777,435
,No issues,1486,1092,809,462
170148d.JPG,No issues,932,266,818,479
,Flashover damage,909,894,808,661
,Flashover damage,876,0,921,1626
,No issues,976,0,777,435
,No issues,920,581,809,462
170243.JPG,No issues,1409,472,391,213
,Broken,1406,864,394,196
,Broken,1349,8,478,1860
,No issues,1415,96,392,200
,No issues,1412,282,392,200
,No issues,1398,671,392,200
,No issues,1393,1049,392,200
,No issues,1385,1244,392,200
,No issues,1382,1430,392,200
,No issues,1374,1627,392,200
170243h.JPG,No issues,1415,472,391,213
,Broken,1415,864,394,196
,Broken,1388,8,478,1860
,No issues,1408,96,392,200
,No issues,1411,282,392,200
,No issues,1425,671,392,200
,No issues,1430,1049,392,200
,No issues,1438,1244,392,200
,No issues,1441,1430,392,200
,No issues,1449,1627,392,200
170243v.JPG,No issues,1409,1450,391,213
,Broken,1406,1075,394,196
,Broken,1349,267,478,1860
,No issues,1415,1839,392,200
,No issues,1412,1653,392,200
,No issues,1398,1264,392,200
,No issues,1393,886,392,200
,No issues,1385,691,392,200
,No issues,1382,505,392,200
,No issues,1374,308,392,200
170533.JPG,No issues,1645,1499,235,120
,Broken,1636,1126,252,126
,Broken,1596,545,323,1861
,No issues,1659,736,244,136
,No issues,1656,865,244,136
,No issues,1653,998,244,136
,No issues,1646,1246,244,136
,No issues,1643,1362,244,136
,No issues,1636,1616,244,136
,No issues,1638,1741,244,136
,No issues,1631,1870,244,136
,No issues,1624,1990,244,136
,No issues,1621,2108,244,136
,No issues,1623,2231,244,136
170533h.JPG,No issues,1799,1499,235,120
,Broken,1791,1126,252,126
,Broken,1760,545,323,1861
,No issues,1776,736,244,136
,No issues,1779,865,244,136
,No issues,1782,998,244,136
,No issues,1789,1246,244,136
,No issues,1792,1362,244,136
,No issues,1799,1616,244,136
,No issues,1797,1741,244,136
,No issues,1804,1870,244,136
,No issues,1811,1990,244,136
,No issues,1814,2108,244,136
,No issues,1812,2231,244,136
170533v.JPG,No issues,1645,836,235,120
,Broken,1636,1203,252,126
,Broken,1596,49,323,1861
,No issues,1659,1583,244,136
,No issues,1656,1454,244,136
,No issues,1653,1321,244,136
,No issues,1646,1073,244,136
,No issues,1643,957,244,136
,No issues,1636,703,244,136
,No issues,1638,578,244,136
,No issues,1631,449,244,136
,No issues,1624,329,244,136
,No issues,1621,211,244,136
,No issues,1623,88,244,136
170868 (2)h.JPG,No issues,2459,2488,521,278
,No issues,2495,2009,490,304
,Broken,2844,360,2,2
,Broken,2491,1597,525,251
,Broken,2418,3190,518,245
,Broken,2384,304,740,3178
,No issues,2550,1328,487,270
,Flashover damage,2615,319,500,350
,No issues,2597,616,499,287
,No issues,2475,2244,499,287
,No issues,2453,2701,499,287
,No issues,2431,2920,499,287
,No issues,2559,1113,487,270
170868 (2)v.JPG,No issues,2539,913,521,278
,No issues,2534,1366,490,304
,Broken,2673,3317,2,2
,Broken,2503,1831,525,251
,Broken,2583,244,518,245
,Broken,2395,197,740,3178
,No issues,2482,2081,487,270
,Flashover damage,2404,3010,500,350
,No issues,2423,2776,499,287
,No issues,2545,1148,499,287
,No issues,2567,691,499,287
,No issues,2589,472,499,287
,No issues,2473,2296,487,270
170868 (2)d.JPG,No issues,2459,913,521,278
,No issues,2495,1366,490,304
,Broken,2844,3317,2,2
,Broken,2491,1831,525,251
,Broken,2418,244,518,245
,Broken,2384,197,740,3178
,No issues,2550,2081,487,270
,Flashover damage,2615,3010,500,350
,No issues,2597,2776,499,287
,No issues,2475,1148,499,287
,No issues,2453,691,499,287
,No issues,2431,472,499,287
,No issues,2559,2296,487,270
100190h.JPG,No issues,1614,441,722,377
,No issues,1656,24,727,466
,Flashover damage,1536,1472,721,348
,Flashover damage,1596,806,727,366
,Flashover damage,1491,1,917,2136
,Flashover damage,1511,1733,694,387
,Flashover damage,1563,1099,717,381
100190v.JPG,No issues,879,1317,722,377
,No issues,832,1645,727,466
,Flashover damage,958,315,721,348
,Flashover damage,892,963,727,366
,Flashover damage,807,0,917,2136
,Flashover damage,1010,15,694,387
,Flashover damage,935,655,717,381
100190d.JPG,No issues,1614,1317,722,377
,No issues,1656,1645,727,466
,Flashover damage,1536,315,721,348
,Flashover damage,1596,963,727,366
,Flashover damage,1491,0,917,2136
,Flashover damage,1511,15,694,387
,Flashover damage,1563,655,717,381
130041.JPG,Broken,981,834,429,463
,Broken,1309,1153,369,392
,Broken,1,1,2846,2000
,No issues,339,329,411,459
,No issues,497,450,407,469
,No issues,659,578,407,469
,No issues,166,188,407,469
,No issues,1640,1311,407,469
,No issues,1795,1429,407,469
,No issues,1953,1543,408,457
,No issues,0,66,408,457
130041h.JPG,Broken,1597,834,429,463
,Broken,1329,1153,369,392
,Broken,160,1,2846,2000
,No issues,2257,329,411,459
,No issues,2103,450,407,469
,No issues,1941,578,407,469
,No issues,2434,188,407,469
,No issues,960,1311,407,469
,No issues,805,1429,407,469
,No issues,646,1543,408,457
,No issues,2599,66,408,457
130041v.JPG,Broken,981,702,429,463
,Broken,1309,454,369,392
,Broken,1,0,2846,2000
,No issues,339,1211,411,459
,No issues,497,1080,407,469
,No issues,659,952,407,469
,No issues,166,1342,407,469
,No issues,1640,219,407,469
,No issues,1795,101,407,469
,No issues,1953,0,408,457
,No issues,0,1476,408,457
130041d.JPG,Broken,1597,702,429,463
,Broken,1329,454,369,392
,Broken,160,0,2846,2000
,No issues,2257,1211,411,459
,No issues,2103,1080,407,469
,No issues,1941,952,407,469
,No issues,2434,1342,407,469
,No issues,960,219,407,469
,No issues,805,101,407,469
,No issues,646,0,408,457
,No issues,2599,1476,408,457
150345h.JPG,No issues,1738,1,394,224
,No issues,1759,610,394,223
,No issues,1800,1641,378,204
,No issues,1805,2031,378,216
,No issues,1792,2247,405,186
,Flashover damage,1794,1829,387,219
,Flashover damage,1778,1436,392,214
,Flashover damage,1767,1221,415,224
,Flashover damage,1766,827,399,212
,Flashover damage,1753,194,389,230
,Flashover damage,1709,10,523,2583
,No issues,1750,413,389,212
,No issues,1775,1021,389,212
150621 (2)h.JPG,No issues,2771,3074,452,251
,No issues,2668,1266,470,259
,No issues,2680,1487,479,256
,Flashover damage,2786,3457,443,260
,Flashover damage,2726,2292,458,256
,Flashover damage,2646,555,474,329
,Flashover damage,2416,447,882,3512
,No issues,2658,1052,470,259
,Flashover damage,2655,852,458,256
,No issues,2677,1684,479,256
,No issues,2687,1891,479,256
,No issues,2755,2499,432,242
,No issues,2759,2696,432,242
,No issues,2756,2879,432,242
,No issues,2788,3665,452,251
150864h.JPG,No issues,0,2569,1874,453
,No issues,3818,887,286,284
,Broken,2973,1673,271,261
,Broken,2262,1,3011,2666
,No issues,4829,0,277,231
,No issues,4667,75,286,284
,No issues,4528,217,286,284
,No issues,4386,349,286,284
,No issues,4240,485,286,284
,No issues,4104,614,286,284
,No issues,3958,753,286,284
,No issues,3680,1035,286,284
,No issues,3538,1154,286,284
,No issues,3396,1293,286,284
,No issues,3257,1412,286,284
,No issues,3125,1565,286,284
,No issues,2820,1813,286,284
,No issues,2681,1938,286,284
,No issues,2549,2053,286,284
,No issues,2410,2188,286,284
,No issues,2274,2317,286,284
150864v.JPG,No issues,4127,977,1874,453
,No issues,1895,2828,286,284
,Broken,2755,2065,271,261
,Broken,726,1332,3011,2666
,No issues,893,3768,277,231
,No issues,1046,3640,286,284
,No issues,1185,3498,286,284
,No issues,1327,3366,286,284
,No issues,1473,3230,286,284
,No issues,1609,3101,286,284
,No issues,1755,2962,286,284
,No issues,2033,2680,286,284
,No issues,2175,2561,286,284
,No issues,2317,2422,286,284
,No issues,2456,2303,286,284
,No issues,2588,2150,286,284
,No issues,2893,1902,286,284
,No issues,3032,1777,286,284
,No issues,3164,1662,286,284
,No issues,3303,1527,286,284
,No issues,3439,1398,286,284
160873Ah.JPG,No issues,1727,2383,1753,626
,Flashover damage,1626,749,1749,1407
,Flashover damage,1588,635,1943,2374
160873Av.JPG,No issues,1031,0,1753,626
,Flashover damage,1136,851,1749,1407
,Flashover damage,980,0,1943,2374
160873Ad.JPG,No issues,1727,0,1753,626
,Flashover damage,1626,851,1749,1407
,Flashover damage,1588,0,1943,2374
170037.JPG,No issues,1280,615,437,244
,Broken,1444,1454,392,210
,Broken,1136,1,715,1731
,No issues,1150,0,437,244
,No issues,1193,200,437,244
,No issues,1234,427,437,244
,No issues,1313,839,437,244
,No issues,1348,1053,437,244
,No issues,1391,1226,437,244
170037h.JPG,No issues,1962,615,437,244
,Broken,1843,1454,392,210
,Broken,1828,1,715,1731
,No issues,2092,0,437,244
,No issues,2049,200,437,244
,No issues,2008,427,437,244
,No issues,1929,839,437,244
,No issues,1894,1053,437,244
,No issues,1851,1226,437,244
170162h.JPG,No issues,1425,939,544,302
,Broken,1404,466,536,239
,Broken,1369,8,656,2128
,No issues,1435,1177,544,302
,No issues,1452,1439,544,302
,No issues,1457,1685,544,302
,No issues,1495,1951,521,185
,No issues,1413,693,546,295
,No issues,1389,183,540,278
,No issues,1379,0,544,207
170162v.JPG,No issues,1246,894,544,302
,Broken,1275,1430,536,239
,Broken,1190,0,656,2128
,No issues,1236,656,544,302
,No issues,1219,394,544,302
,No issues,1214,148,544,302
,No issues,1199,0,521,185
,No issues,1256,1147,546,295
,No issues,1286,1674,540,278
,No issues,1292,1928,544,207
170162d.JPG,No issues,1425,894,544,302
,Broken,1404,1430,536,239
,Broken,1369,0,656,2128
,No issues,1435,656,544,302
,No issues,1452,394,544,302
,No issues,1457,148,544,302
,No issues,1495,0,521,185
,No issues,1413,1147,546,295
,No issues,1389,1674,540,278
,No issues,1379,1928,544,207
170278 (2).JPG,No issues,1747,2048,370,189
,Flashover damage,1731,1038,382,282
,Flashover damage,1700,1011,451,1446
,No issues,1742,1291,370,189
,No issues,1744,1441,370,189
,No issues,1733,1599,370,189
,No issues,1741,1757,370,189
,No issues,1743,1894,370,189
,No issues,1736,2200,370,189
,No issues,1748,2350,359,106
170278 (2)h.JPG,No issues,1562,2048,370,189
,Flashover damage,1566,1038,382,282
,Flashover damage,1528,1011,451,1446
,No issues,1567,1291,370,189
,No issues,1565,1441,370,189
,No issues,1576,1599,370,189
,No issues,1568,1757,370,189
,No issues,1566,1894,370,189
,No issues,1573,2200,370,189
,No issues,1572,2350,359,106
170278 (2)v.JPG,No issues,1747,218,370,189
,Flashover damage,1731,1135,382,282
,Flashover damage,1700,0,451,1446
,No issues,1742,975,370,189
,No issues,1744,825,370,189
,No issues,1733,667,370,189
,No issues,1741,509,370,189
,No issues,1743,372,370,189
,No issues,1736,66,370,189
,No issues,1748,0,359,106
170278 (2)d.JPG,No issues,1562,218,370,189
,Flashover damage,1566,1135,382,282
,Flashover damage,1528,0,451,1446
,No issues,1567,975,370,189
,No issues,1565,825,370,189
,No issues,1576,667,370,189
,No issues,1568,509,370,189
,No issues,1566,372,370,189
,No issues,1573,66,370,189
,No issues,1572,0,359,106
170567h.JPG,No issues,2431,1,783,1000
,No issues,2073,888,161,278
,No issues,855,565,171,293
,No issues,475,463,201,287
,No issues,610,499,188,290
,No issues,738,547,177,278
,Broken,1094,636,158,282
,Broken,1237,735,135,217
,Broken,1340,700,145,280
,Broken,1437,737,143,274
,Broken,1775,811,141,293
,Broken,452,436,1894,763
,No issues,965,602,171,293
,No issues,1960,855,171,293
,No issues,2181,911,161,278
,No issues,2963,65,212,196
,No issues,2873,187,229,195
,No issues,2785,313,229,195
,No issues,2702,434,229,195
,No issues,2616,544,229,195
,No issues,2535,665,229,195
,No issues,2448,800,228,179
170567d.JPG,No issues,2431,1134,783,1000
,No issues,2073,969,161,278
,No issues,855,1277,171,293
,No issues,475,1385,201,287
,No issues,610,1346,188,290
,No issues,738,1310,177,278
,Broken,1094,1217,158,282
,Broken,1237,1183,135,217
,Broken,1340,1155,145,280
,Broken,1437,1124,143,274
,Broken,1775,1031,141,293
,Broken,452,936,1894,763
,No issues,965,1240,171,293
,No issues,1960,987,171,293
,No issues,2181,946,161,278
,No issues,2963,1874,212,196
,No issues,2873,1753,229,195
,No issues,2785,1627,229,195
,No issues,2702,1506,229,195
,No issues,2616,1396,229,195
,No issues,2535,1275,229,195
,No issues,2448,1156,228,179
130060.jpg,No issues,2080,843,306,154
,No issues,2081,686,307,161
,Broken,2030,1746,302,150
,Broken,1985,7,453,2421
,No issues,2115,53,307,161
,No issues,2110,218,307,161
,No issues,2101,375,307,161
,No issues,2094,536,307,161
,No issues,2068,997,307,161
,No issues,2066,1154,307,161
,No issues,2049,1304,307,161
,No issues,2040,1457,307,161
,No issues,2040,1600,307,161
,No issues,2014,1900,307,161
,No issues,2012,2045,307,161
,No issues,2000,2205,307,161
130060h.jpg,No issues,1901,843,306,154
,No issues,1899,686,307,161
,Broken,1955,1746,302,150
,Broken,1849,7,453,2421
,No issues,1865,53,307,161
,No issues,1870,218,307,161
,No issues,1879,375,307,161
,No issues,1886,536,307,161
,No issues,1912,997,307,161
,No issues,1914,1154,307,161
,No issues,1931,1304,307,161
,No issues,1940,1457,307,161
,No issues,1940,1600,307,161
,No issues,1966,1900,307,161
,No issues,1968,2045,307,161
,No issues,1980,2205,307,161
130060d.jpg,No issues,1901,1850,306,154
,No issues,1899,2000,307,161
,Broken,1955,951,302,150
,Broken,1849,419,453,2421
,No issues,1865,2633,307,161
,No issues,1870,2468,307,161
,No issues,1879,2311,307,161
,No issues,1886,2150,307,161
,No issues,1912,1689,307,161
,No issues,1914,1532,307,161
,No issues,1931,1382,307,161
,No issues,1940,1229,307,161
,No issues,1940,1086,307,161
,No issues,1966,786,307,161
,No issues,1968,641,307,161
,No issues,1980,481,307,161
150362h.JPG,No issues,1357,2217,756,1042
,Broken,2798,1421,806,1002
,Broken,0,877,4675,3103
,No issues,848,2444,756,1042
,No issues,390,2705,756,1042
,No issues,0,2953,657,1020
,No issues,1816,1942,756,1042
,No issues,3308,1123,755,996
,No issues,3814,899,820,1026
150362d.JPG,No issues,1357,740,756,1042
,Broken,2798,1576,806,1002
,Broken,0,19,4675,3103
,No issues,848,513,756,1042
,No issues,390,252,756,1042
,No issues,0,26,657,1020
,No issues,1816,1015,756,1042
,No issues,3308,1880,755,996
,No issues,3814,2074,820,1026
150633.JPG,No issues,3513,1580,298,417
,Broken,2771,1911,311,426
,Broken,519,933,4740,2364
,No issues,4912,955,298,417
,No issues,4711,1043,298,417
,No issues,4514,1134,298,417
,No issues,4303,1229,298,417
,No issues,4106,1320,298,417
,No issues,3916,1405,298,417
,No issues,3719,1493,298,417
,No issues,3318,1666,298,417
,No issues,3124,1761,298,417
,No issues,2360,2094,298,417
,No issues,2180,2165,298,417
,No issues,2000,2256,298,417
,No issues,1810,2327,298,417
,No issues,1630,2412,298,417
,No issues,1443,2483,298,417
,No issues,1263,2568,298,417
,No issues,1083,2639,298,417
,No issues,896,2720,298,417
,No issues,723,2788,298,417
,No issues,536,2863,298,417
150633h.JPG,No issues,2188,1580,298,417
,Broken,2917,1911,311,426
,Broken,740,933,4740,2364
,No issues,789,955,298,417
,No issues,990,1043,298,417
,No issues,1187,1134,298,417
,No issues,1398,1229,298,417
,No issues,1595,1320,298,417
,No issues,1785,1405,298,417
,No issues,1982,1493,298,417
,No issues,2383,1666,298,417
,No issues,2577,1761,298,417
,No issues,3341,2094,298,417
,No issues,3521,2165,298,417
,No issues,3701,2256,298,417
,No issues,3891,2327,298,417
,No issues,4071,2412,298,417
,No issues,4258,2483,298,417
,No issues,4438,2568,298,417
,No issues,4618,2639,298,417
,No issues,4805,2720,298,417
,No issues,4978,2788,298,417
,No issues,5165,2863,298,417
150633v.JPG,No issues,3513,2002,298,417
,Broken,2771,1662,311,426
,Broken,519,702,4740,2364
,No issues,4912,2627,298,417
,No issues,4711,2539,298,417
,No issues,4514,2448,298,417
,No issues,4303,2353,298,417
,No issues,4106,2262,298,417
,No issues,3916,2177,298,417
,No issues,3719,2089,298,417
,No issues,3318,1916,298,417
,No issues,3124,1821,298,417
,No issues,2360,1488,298,417
,No issues,2180,1417,298,417
,No issues,2000,1326,298,417
,No issues,1810,1255,298,417
,No issues,1630,1170,298,417
,No issues,1443,1099,298,417
,No issues,1263,1014,298,417
,No issues,1083,943,298,417
,No issues,896,862,298,417
,No issues,723,794,298,417
,No issues,536,719,298,417
150633d.JPG,No issues,2188,2002,298,417
,Broken,2917,1662,311,426
,Broken,740,702,4740,2364
,No issues,789,2627,298,417
,No issues,990,2539,298,417
,No issues,1187,2448,298,417
,No issues,1398,2353,298,417
,No issues,1595,2262,298,417
,No issues,1785,2177,298,417
,No issues,1982,2089,298,417
,No issues,2383,1916,298,417
,No issues,2577,1821,298,417
,No issues,3341,1488,298,417
,No issues,3521,1417,298,417
,No issues,3701,1326,298,417
,No issues,3891,1255,298,417
,No issues,4071,1170,298,417
,No issues,4258,1099,298,417
,No issues,4438,1014,298,417
,No issues,4618,943,298,417
,No issues,4805,862,298,417
,No issues,4978,794,298,417
,No issues,5165,719,298,417
150879h.JPG,No issues,1945,1477,465,672
,Broken,2841,1711,448,655
,Broken,0,794,3930,1808
,Broken,4243,1,1211,1700
,No issues,4693,122,635,506
,No issues,4540,465,635,506
,No issues,4418,801,635,506
,No issues,4274,1147,614,504
,No issues,58,914,488,682
,No issues,289,978,488,682
,No issues,524,1063,491,696
,No issues,762,1134,491,696
,No issues,980,1198,491,696
,No issues,1225,1262,491,696
,No issues,1449,1330,491,696
,No issues,1670,1408,491,696
,No issues,2135,1527,491,696
,No issues,2332,1591,491,696
,No issues,3227,1825,462,674
,No issues,3444,1889,449,664
150879v.JPG,No issues,3589,1850,465,672
,Broken,2710,1633,448,655
,Broken,2071,1397,3930,1808
,Broken,545,2298,1211,1700
,No issues,671,3371,635,506
,No issues,824,3028,635,506
,No issues,946,2692,635,506
,No issues,1111,2348,614,504
,No issues,5453,2403,488,682
,No issues,5222,2339,488,682
,No issues,4984,2240,491,696
,No issues,4746,2169,491,696
,No issues,4528,2105,491,696
,No issues,4283,2041,491,696
,No issues,4059,1973,491,696
,No issues,3838,1895,491,696
,No issues,3373,1776,491,696
,No issues,3176,1712,491,696
,No issues,2310,1500,462,674
,No issues,2106,1446,449,664
150879d.JPG,No issues,1945,1850,465,672
,Broken,2841,1633,448,655
,Broken,0,1397,3930,1808
,Broken,4243,2298,1211,1700
,No issues,4693,3371,635,506
,No issues,4540,3028,635,506
,No issues,4418,2692,635,506
,No issues,4274,2348,614,504
,No issues,58,2403,488,682
,No issues,289,2339,488,682
,No issues,524,2240,491,696
,No issues,762,2169,491,696
,No issues,980,2105,491,696
,No issues,1225,2041,491,696
,No issues,1449,1973,491,696
,No issues,1670,1895,491,696
,No issues,2135,1776,491,696
,No issues,2332,1712,491,696
,No issues,3227,1500,462,674
,No issues,3444,1446,449,664
160440.JPG,No issues,1804,2055,687,367
,No issues,1813,1694,679,369
,No issues,1825,1034,690,353
,Flashover damage,1848,1,686,342
,Flashover damage,1818,1377,682,354
,Flashover damage,1760,1,826,3008
,No issues,1845,342,690,353
,No issues,1822,689,690,353
,No issues,1804,2395,690,353
,No issues,1776,2740,689,268
160440h.JPG,No issues,2020,2055,687,367
,No issues,2019,1694,679,369
,No issues,1996,1034,690,353
,Flashover damage,1977,1,686,342
,Flashover damage,2011,1377,682,354
,Flashover damage,1925,1,826,3008
,No issues,1976,342,690,353
,No issues,1999,689,690,353
,No issues,2017,2395,690,353
,No issues,2046,2740,689,268
160440d.JPG,No issues,2020,585,687,367
,No issues,2019,944,679,369
,No issues,1996,1620,690,353
,Flashover damage,1977,2664,686,342
,Flashover damage,2011,1276,682,354
,Flashover damage,1925,0,826,3008
,No issues,1976,2312,690,353
,No issues,1999,1965,690,353
,No issues,2017,259,690,353
,No issues,2046,0,689,268
160935.JPG,No issues,1617,2173,1360,817
,Broken,1738,1211,1419,812
,Broken,1537,12,1825,2997
,No issues,1808,674,1321,815
160935h.JPG,No issues,1534,2173,1360,817
,Broken,1354,1211,1419,812
,Broken,1149,12,1825,2997
,No issues,1382,674,1321,815
160935v.JPG,No issues,1617,17,1360,817
,Broken,1738,984,1419,812
,Broken,1537,0,1825,2997
,No issues,1808,1518,1321,815
161314.JPG,No issues,2101,197,615,303
,No issues,2114,1322,611,303
,Broken,2105,492,611,307
,Broken,2127,2124,591,317
,Broken,2042,1,708,2520
,No issues,2114,1569,607,318
,No issues,2109,1845,607,318
,No issues,2104,1025,607,318
,No issues,2099,792,606,260
,No issues,2096,0,625,209
161314h.JPG,No issues,1795,197,615,303
,No issues,1786,1322,611,303
,Broken,1795,492,611,307
,Broken,1793,2124,591,317
,Broken,1761,1,708,2520
,No issues,1790,1569,607,318
,No issues,1795,1845,607,318
,No issues,1800,1025,607,318
,No issues,1806,792,606,260
,No issues,1790,0,625,209
161314v.JPG,No issues,2101,2507,615,303
,No issues,2114,1382,611,303
,Broken,2105,2208,611,307
,Broken,2127,566,591,317
,Broken,2042,486,708,2520
,No issues,2114,1120,607,318
,No issues,2109,844,607,318
,No issues,2104,1664,607,318
,No issues,2099,1955,606,260
,No issues,2096,2798,625,209
161314d.JPG,No issues,1795,2507,615,303
,No issues,1786,1382,611,303
,Broken,1795,2208,611,307
,Broken,1793,566,591,317
,Broken,1761,486,708,2520
,No issues,1790,1120,607,318
,No issues,1795,844,607,318
,No issues,1800,1664,607,318
,No issues,1806,1955,606,260
,No issues,1790,2798,625,209
170041h.JPG,No issues,1710,1,1548,3175
,Flashover damage,4311,1367,598,581
,Flashover damage,3045,1284,1899,2257
,No issues,2677,2551,563,464
,No issues,2559,2242,563,464
,No issues,2458,1937,563,464
,No issues,2354,1640,566,431
,No issues,2253,1327,566,431
,No issues,2152,1035,566,431
,No issues,2051,693,566,431
,No issues,1958,380,566,431
,No issues,1857,63,566,431
170041v.JPG,No issues,4101,1735,1548,3175
,Flashover damage,2450,2963,598,581
,Flashover damage,2415,1370,1899,2257
,No issues,4119,1896,563,464
,No issues,4237,2205,563,464
,No issues,4338,2510,563,464
,No issues,4439,2840,566,431
,No issues,4540,3153,566,431
,No issues,4641,3445,566,431
,No issues,4742,3787,566,431
,No issues,4835,4100,566,431
,No issues,4936,4417,566,431
170041d.JPG,No issues,1710,1735,1548,3175
,Flashover damage,4311,2963,598,581
,Flashover damage,3045,1370,1899,2257
,No issues,2677,1896,563,464
,No issues,2559,2205,563,464
,No issues,2458,2510,563,464
,No issues,2354,2840,566,431
,No issues,2253,3153,566,431
,No issues,2152,3445,566,431
